GEOID,NAME,variable,estimate,moe,total
27519,ZCTA5 27519,income,56482,1114,8223.75
27520,ZCTA5 27520,income,42387,1891,1000
27521,ZCTA5 27521,income,6366,558,0
27522,ZCTA5 27522,income,12552,870,250
27523,ZCTA5 27523,income,12441,1107,275
27524,ZCTA5 27524,income,13675,1106,10000
27525,ZCTA5 27525,income,14819,1028,2405
27526,ZCTA5 27526,income,48581,1782,1253.28
27527,ZCTA5 27527,income,25337,1483,0
27529,ZCTA5 27529,income,50683,1935,480
27530,ZCTA5 27530,income,38940,1627,250
27531,ZCTA5 27531,income,778,270,0
27534,ZCTA5 27534,income,32492,1283,0
27536,ZCTA5 27536,income,16522,545,60
27537,ZCTA5 27537,income,23736,742,0
27539,ZCTA5 27539,income,23970,1384,30
27540,ZCTA5 27540,income,39675,899,8800
27541,ZCTA5 27541,income,3915,765,0
27542,ZCTA5 27542,income,9288,982,0
27544,ZCTA5 27544,income,5131,619,0
27545,ZCTA5 27545,income,28676,1216,1154.5
27546,ZCTA5 27546,income,21129,1036,1250
27549,ZCTA5 27549,income,26716,1373,7990.4
27551,ZCTA5 27551,income,1684,298,0
27553,ZCTA5 27553,income,2725,475,0
27555,ZCTA5 27555,income,672,227,0
27556,ZCTA5 27556,income,238,108,0
27557,ZCTA5 27557,income,8205,913,0
27559,ZCTA5 27559,income,2622,558,250
27560,ZCTA5 27560,income,35800,1079,500
27562,ZCTA5 27562,income,2149,431,0
27563,ZCTA5 27563,income,4270,557,0
27565,ZCTA5 27565,income,25127,992,610
27568,ZCTA5 27568,income,607,221,0
27569,ZCTA5 27569,income,7993,1040,1541.96
27571,ZCTA5 27571,income,7407,207,250
27572,ZCTA5 27572,income,7081,676,56.25
27573,ZCTA5 27573,income,11391,682,250
27574,ZCTA5 27574,income,14036,854,725
27576,ZCTA5 27576,income,18222,1144,500
27577,ZCTA5 27577,income,26875,1276,1750
27581,ZCTA5 27581,income,4612,540,0
27582,ZCTA5 27582,income,409,227,0
27583,ZCTA5 27583,income,7073,802,0
27587,ZCTA5 27587,income,68491,1380,3080.5
