contributor_zip,total,NAME,variable,estimate,moe
28677,300,ZCTA5 28677,income,34703,1101
28678,950,ZCTA5 28678,income,5676,814
28681,2650,ZCTA5 28681,income,26448,848
28690,415,ZCTA5 28690,income,9189,725
28693,900,ZCTA5 28693,income,1690,317
28694,750,ZCTA5 28694,income,7719,643
28704,2000,ZCTA5 28704,income,19261,1323
28711,1450,ZCTA5 28711,income,13269,518
28712,11955,ZCTA5 28712,income,19847,794
28713,2090,ZCTA5 28713,income,8799,386
28714,3073.5,ZCTA5 28714,income,16941,229
28715,900,ZCTA5 28715,income,26476,1295
28716,1820,ZCTA5 28716,income,17770,791
28717,2000,ZCTA5 28717,income,1948,423
28719,400,ZCTA5 28719,income,7674,498
28721,200,ZCTA5 28721,income,10401,668
28726,7.5,ZCTA5 28726,income,3701,874
28731,2390,ZCTA5 28731,income,8368,872
28732,24850,ZCTA5 28732,income,18107,877
28734,700,ZCTA5 28734,income,27887,759
28739,7150,ZCTA5 28739,income,21492,908
28740,30,ZCTA5 28740,income,849,212
28741,1730,ZCTA5 28741,income,3672,349
28742,1400,ZCTA5 28742,income,3155,543
28746,5,ZCTA5 28746,income,2420,291
28747,1000,ZCTA5 28747,income,2297,367
28751,460,ZCTA5 28751,income,3473,330
28752,1110,ZCTA5 28752,income,30924,1064
28754,90.9,ZCTA5 28754,income,10290,685
28759,436.25,ZCTA5 28759,income,7456,284
28761,100,ZCTA5 28761,income,7194,747
28766,20855,ZCTA5 28766,income,1331,291
28768,8928,ZCTA5 28768,income,7504,683
28771,300,ZCTA5 28771,income,8069,140
28772,375,ZCTA5 28772,income,1149,340
28774,100,ZCTA5 28774,income,924,234
28777,600,ZCTA5 28777,income,10717,712
28778,1202,ZCTA5 28778,income,9584,859
28779,1087.5,ZCTA5 28779,income,18477,959
28782,494,ZCTA5 28782,income,6852,449
28785,909,ZCTA5 28785,income,7953,664
28786,6800,ZCTA5 28786,income,21004,655
28787,258.5,ZCTA5 28787,income,21533,1020
28790,2510,ZCTA5 28790,income,3295,397
28791,111.25,ZCTA5 28791,income,15528,1126
28792,1930.47,ZCTA5 28792,income,34703,1521
28801,500,ZCTA5 28801,income,13790,688
28803,9268.52,ZCTA5 28803,income,34491,1370
28804,100,ZCTA5 28804,income,22511,902
28805,27.5,ZCTA5 28805,income,19952,910
28806,1030,ZCTA5 28806,income,43597,1463
28904,5605,ZCTA5 28904,income,8969,395
28906,4249.66,ZCTA5 28906,income,19701,736
28909,410,ZCTA5 28909,income,993,310
