contributor_zip,total,NAME,variable,estimate,moe
28771,5500,ZCTA5 28771,income,8069,140
28773,100,ZCTA5 28773,income,2973,392
28778,2103,ZCTA5 28778,income,9584,859
28779,343.75,ZCTA5 28779,income,18477,959
28786,12865,ZCTA5 28786,income,21004,655
28787,2960,ZCTA5 28787,income,21533,1020
28789,301,ZCTA5 28789,income,5779,848
28791,2102.5,ZCTA5 28791,income,15528,1126
28792,500,ZCTA5 28792,income,34703,1521
28801,40215,ZCTA5 28801,income,13790,688
28803,20421.5,ZCTA5 28803,income,34491,1370
28804,37610.5,ZCTA5 28804,income,22511,902
28805,1354.5,ZCTA5 28805,income,19952,910
28806,9579.67,ZCTA5 28806,income,43597,1463
28902,10032.5,ZCTA5 28902,income,1419,410
28906,399.25,ZCTA5 28906,income,19701,736
