GEOID,NAME,variable,estimate,moe,total
28358,ZCTA5 28358,income,38858,945,12775
28360,ZCTA5 28360,income,14769,977,0
28363,ZCTA5 28363,income,1415,437,3100
28364,ZCTA5 28364,income,14732,805,0
28365,ZCTA5 28365,income,15533,1054,1100
28366,ZCTA5 28366,income,5868,935,0
28367,ZCTA5 28367,income,126,74,0
28369,ZCTA5 28369,income,2585,366,0
28371,ZCTA5 28371,income,6964,844,18
28372,ZCTA5 28372,income,14196,642,0
28373,ZCTA5 28373,income,2749,429,0
28374,ZCTA5 28374,income,17347,341,43782
28375,ZCTA5 28375,income,164,68,0
28376,ZCTA5 28376,income,44967,729,1361.25
28377,ZCTA5 28377,income,12654,887,600
28379,ZCTA5 28379,income,24512,856,10
28382,ZCTA5 28382,income,7252,1027,8
28383,ZCTA5 28383,income,8518,602,0
28384,ZCTA5 28384,income,11162,681,0
28385,ZCTA5 28385,income,2277,561,6950
28386,ZCTA5 28386,income,6258,632,15
28387,ZCTA5 28387,income,15437,727,5700
28390,ZCTA5 28390,income,24768,1006,900
28391,ZCTA5 28391,income,5842,570,0
28392,ZCTA5 28392,income,1559,491,0
28393,ZCTA5 28393,income,1962,493,0
28394,ZCTA5 28394,income,5547,840,1450
28395,ZCTA5 28395,income,2046,366,600
28396,ZCTA5 28396,income,2583,343,0
28398,ZCTA5 28398,income,8296,979,2500
28399,ZCTA5 28399,income,1955,338,0
28401,ZCTA5 28401,income,24656,1169,640
28403,ZCTA5 28403,income,41525,1199,19111.25
28405,ZCTA5 28405,income,32909,1352,17553.75
28409,ZCTA5 28409,income,34849,1231,16997.5
28411,ZCTA5 28411,income,39019,1092,38490.27
28412,ZCTA5 28412,income,39106,1406,4980
28420,ZCTA5 28420,income,4075,762,3350
28421,ZCTA5 28421,income,1610,399,0
28422,ZCTA5 28422,income,8116,658,833.75
28423,ZCTA5 28423,income,2421,303,0
28424,ZCTA5 28424,income,48,30,0
28425,ZCTA5 28425,income,11833,859,1010
28428,ZCTA5 28428,income,6611,129,13120
28429,ZCTA5 28429,income,7058,938,40
28430,ZCTA5 28430,income,2298,340,0
28431,ZCTA5 28431,income,7027,871,0
28432,ZCTA5 28432,income,1407,387,175
28433,ZCTA5 28433,income,5228,787,0
28434,ZCTA5 28434,income,948,249,0
28435,ZCTA5 28435,income,2210,414,0
28436,ZCTA5 28436,income,2090,447,0
28438,ZCTA5 28438,income,1651,353,0
28439,ZCTA5 28439,income,1038,319,0
28441,ZCTA5 28441,income,3396,588,0
28442,ZCTA5 28442,income,1432,334,0
28443,ZCTA5 28443,income,23266,1017,7009.32
28444,ZCTA5 28444,income,2310,519,0
28445,ZCTA5 28445,income,7196,744,255
28447,ZCTA5 28447,income,1734,564,0
28448,ZCTA5 28448,income,902,415,0
28449,ZCTA5 28449,income,1778,204,0
28450,ZCTA5 28450,income,2684,327,0
28451,ZCTA5 28451,income,35236,1297,4580.22
28452,ZCTA5 28452,income,899,382,0
28453,ZCTA5 28453,income,3563,549,0
28454,ZCTA5 28454,income,2733,619,0
28455,ZCTA5 28455,income,2500,630,0
28456,ZCTA5 28456,income,3750,666,0
28457,ZCTA5 28457,income,10299,838,100
28458,ZCTA5 28458,income,6761,780,50
28460,ZCTA5 28460,income,10845,977,700
28461,ZCTA5 28461,income,20506,601,6582
28462,ZCTA5 28462,income,12917,1120,825
28463,ZCTA5 28463,income,9116,727,10
28464,ZCTA5 28464,income,3031,643,0
